id,name,party,sector,type
500,Folge 500,na,na,2
UL,Ursula von der Leyen,CDU,Politik,1
LK,Lars Klingbeil,SPD,Politik,1
NR,Norbert Röttgen,CDU,Politik,1
SW,Sahra Wagenknecht,LINKE,Politik,1
CS,Constanze Stelzenmüller,na,Juristik,1
501,Folge 501,na,na,2
CL,Christian Lindner,FDP,Politik,1
KS,Karl Schlögel,CDU,Politik,1
LM,Ljudmyla Melnyk,na,Ukraine,1
KD,Kristina Dunz,na,Journalismus,1
EL,Egils Levits,na,Politik,1
502,Folge 502,na,na,2
AB,Annalena Baerbock,GREEN,Politik,1
FT,Frans Timmermans,na,Politik,1
AM,Andrij Melnyk,na,Ukraine,1
AL,Alexander Graf Lambsdorff,FDP,Politik,1
ER,Egon Ramms,na,Military,1
503,Folge 503,na,na,2
RH,Robert Habeck,GREEN,Politik,1
CM,Claudia Major,na,Wissenschaft,1
KP,Katja Petrowskaja,na,Journalismus,1
RK,Roderich Kiesewetter,CDU,Politik,1
504,Folge 504,na,na,2
CLA,Christine Lambrecht,SPD,Politik,1
SB,Stefanie Babst,na,Politik,1
CH,Christoph Heusgen,na,Politik,1
MW,Marina Weisband,na,Journalismus,1